EDO,MUN,NOMBRE_MUNICIPIO
20,246,SAN MATEO CAJONOS
16,93,TIQUICHEO DE NICOLAS ROMERO
16,94,TLALPUJAHUA
16,95,TLAZAZALCA
16,103,URUAPAN
16,67,PATZCUARO
16,21,CHARAPAN
16,76,LOS REYES
16,71,PUREPERO
17,18,TEMIXCO
17,3,AXOCHIAPAN
20,161,SAN JERONIMO TLACOCHAHUAYA
12,40,JUAN R. ESCUDERO
21,12,ALJOJUCA
21,148,SANTA ISABEL CHOLULA
21,13,ALTEPEXI
21,28,CAMOCUAUTLA
21,30,CAXHUACAN
21,211,ZARAGOZA
21,98,MAZAPILTEPEC DE JUAREZ
21,118,RAFAEL LARA GRAJALES
21,215,ZONGOZOTLA
21,210,ZAPOTITLAN DE MENDEZ
21,78,HUEYTAMALCO
21,126,SAN GREGORIO ATZOMPA
21,119,LOS REYES DE JUAREZ
21,20,ATOYATEMPAN
21,61,DOMINGO ARENAS
21,97,LA MAGDALENA TLATLAUQUITEPEC
21,132,SAN JUAN ATZOMPA
21,137,SAN MIGUEL XOXTLA
21,103,NEALTICAN
21,181,TLALTENANGO
21,127,SAN JERONIMO TECUANIPAN
21,56,CHILA
21,209,ZAPOTITLAN
21,37,COYOMEAPAN
21,125,SAN GABRIEL CHILAC
21,121,SAN ANTONIO CAÐADA
21,143,SAN SALVADOR EL SECO
21,53,CHIGMECATITLAN
21,150,SANTO TOMAS HUEYOTLIPAN
21,189,TOCHTEPEC
21,10,AJALPAN
21,217,ZOQUITLAN
21,7,AHUATLAN
21,32,COATZINGO
21,151,SOLTEPEC
21,93,JUAN GALINDO
21,146,SANTA CATARINA TLALTEMPAN
21,134,SAN MARTIN TOTOLTEPEC
21,165,TEPEOJUMA
21,35,CORONANGO
16,58,NOCUPETARO
16,59,NUEVO PARANGARICUTIRO
16,60,NUEVO URECHO
16,61,NUMARAN
17,21,TETECALA
31,28,DZILAM DE BRAVO
30,59,CHICONQUIACO
8,47,MORIS
8,48,NAMIQUIPA
8,49,NONOAVA
31,35,HOCTUN
32,13,GENERAL ENRIQUE ESTRADA
5,13,HIDALGO
31,72,SUMA
31,9,CANSAHCAB
31,78,TEKANTO
31,5,BOKOBA
8,7,BALLEZA
8,8,BATOPILAS
8,9,BOCOYNA
8,10,BUENAVENTURA
31,7,CACALCHEN
31,4,BACA
7,78,SAN FERNANDO
21,102,NAUZONTLA
21,82,ATLEQUIZAYAN
21,31,COATEPEC
21,216,ZOQUIAPAN
21,81,HUITZILTEPEC
21,58,HONEY
10,34,SUCHIL
10,5,DURANGO
10,36,TEPEHUANES
20,387,SANTA CRUZ ZENZONTEPEC
11,34,SANTA CATARINA
11,40,TIERRA BLANCA
11,28,SALVATIERRA
11,7,CELAYA
11,26,ROMITA
11,39,TARIMORO
13,76,TULANCINGO DE BRAVO
12,76,ACATEPEC
12,10,ATLIXTAC
12,47,OMETEPEC
13,29,HUICHAPAN
13,30,IXMIQUILPAN
12,51,PUNGARABATO
14,124,ZAPOTLANEJO
14,68,PONCITLAN
14,123,ZAPOTLAN DEL REY
12,13,AZOYU
14,104,TONILA
14,92,TEOCALTICHE
14,75,SAN JUAN DE LOS LAGOS
13,13,CALNALI
13,14,CARDONAL
13,15,CUAUTEPEC DE HINOJOSA
14,14,ATOYAC
14,93,TEOCUITATLAN DE CORONA
14,108,TUXCUECA
14,84,TALA
14,77,SAN MARCOS
14,37,ETZATLAN
14,6,AMECA
14,96,TEUCHITLAN
14,21,CASIMIRO CASTILLO
14,28,CUAUTITLAN DE GARCIA BARRAGAN
14,15,AUTLAN DE NAVARRO
14,17,AYUTLA
14,29,CUAUTLA
14,47,IXTLAHUACAN DEL RIO
14,31,CHAPALA
14,65,OCOTLAN
14,106,TOTOTLAN
14,57,MAGDALENA
14,7,SAN JUANITO DE ESCOBEDO
14,112,VALLE DE GUADALUPE
14,118,YAHUALICA DE GONZALEZ GALLO
14,117,CAÐADAS DE OBREGON
14,74,SAN DIEGO DE ALEJANDRIA
14,64,MIXTLAN
14,101,TOMATLAN
14,60,MASCOTA
14,85,TALPA DE ALLENDE
14,69,PUERTO VALLARTA
15,89,TENANCINGO
15,21,COATEPEC HARINAS
15,119,ZINACANTEPEC
31,106,YOBAIN
31,13,CONKAL
15,61,NICOLAS ROMERO
15,25,CUAUTITLAN IZCALLI
5,2,ACUÐA
5,14,JIMENEZ
5,31,SAN BUENAVENTURA
5,24,PARRAS
5,38,ZARAGOZA
20,552,TLALIXTAC DE CABRERA
31,68,SINANCHE
5,30,SALTILLO
5,23,OCAMPO
5,34,SIERRA MOJADA
5,36,VIESCA
8,46,MORELOS
31,20,CHICXULUB PUEBLO
5,17,MATAMOROS
5,25,PIEDRAS NEGRAS
5,9,FRANCISCO I. MADERO
5,27,RAMOS ARIZPE
5,35,TORREON
7,100,TUMBALA
7,102,TUXTLA GUTIERREZ
7,103,TUZANTAN
7,107,VILLACOMALTITLAN
7,25,CHAPULTENANGO
7,7,AMATENANGO DEL VALLE
7,43,IXTACOMITAN
7,44,IXTAPA
7,45,IXTAPANGAJOYA
7,46,JIQUIPILAS
7,48,JUAREZ
7,50,LA LIBERTAD
7,53,MAZAPA DE MADERO
7,29,CHICOASEN
7,30,CHICOMUSELO
7,33,FRANCISCO LEON
7,34,FRONTERA COMALAPA
7,13,BOCHIL
7,5,AMATAN
7,6,AMATENANGO DE LA FRONTERA
32,41,EL SALVADOR
7,56,MITONTIC
7,39,HUIXTAN
7,41,LA INDEPENDENCIA
7,42,IXHUATAN
8,37,JUAREZ
8,15,COYAME DEL SOTOL
28,6,BUSTAMANTE
28,31,PALMILLAS
8,56,ROSARIO
8,57,SAN FRANCISCO DE BORJA
8,58,SAN FRANCISCO DE CONCHOS
8,59,SAN FRANCISCO DEL ORO
8,60,SANTA BARBARA
8,61,SATEVO
8,62,SAUCILLO
8,63,TEMOSACHIC
8,64,EL TULE
8,65,URIQUE
8,66,URUACHI
8,67,VALLE DE ZARAGOZA
11,42,VALLE DE SANTIAGO
12,4,ALCOZAUCA DE GUERRERO
12,5,ALPOYECA
12,7,ARCELIA
12,8,ATENANGO DEL RIO
12,9,ATLAMAJALCINGO DEL MONTE
12,11,ATOYAC DE ALVAREZ
12,12,AYUTLA DE LOS LIBRES
12,14,BENITO JUAREZ
12,2,AHUACUOTZINGO
12,3,AJUCHITLAN DEL PROGRESO
7,59,OCOSINGO
7,115,MARQUES DE COMILLAS
7,106,VENUSTIANO CARRANZA
7,109,VILLAFLORES
7,110,YAJALON
7,111,ZINACANTAN
7,99,LA TRINITARIA
7,93,TECPATAN
7,87,SUCHIAPA
7,75,SABANILLA
7,77,SAN CRISTOBAL DE LAS CASAS
12,42,MALINALTEPEC
12,59,TELOLOAPAN
